Data,Indice
07/2009,131.44
08/2009,130.70
09/2009,129.81
10/2009,132.48
11/2009,129.62
12/2009,129.23
01/2010,125.81
02/2010,127.61
03/2010,143.44
04/2010,136.87
05/2010,136.52
06/2010,136.9
07/2010,141.64
08/2010,141.55
09/2010,139.46
10/2010,139.33
11/2010,139.68
12/2010,136.69
01/2011,132.66
02/2011,136.18
03/2011,144.93
04/2011,139.89
05/2011,143.23
06/2011,141.75
07/2011,145.19
08/2011,147.51
09/2011,142.30
10/2011,142.2
11/2011,141.87
12/2011,139.23
01/2012,133.34
02/2012,135.35
03/2012,146.35
04/2012,139.85
05/2012,144.56
06/2012,142.28
07/2012,147.46
08/2012,149.91
09/2012,141.60
10/2012,147.71
11/2012,144.15
12/2012,139.52
01/2013,139.32
02/2013,136.14
03/2013,148.1
04/2013,149.79
05/2013,147.3
06/2013,144.87
07/2013,152.13
08/2013,151.81
09/2013,147.27
10/2013,151.90
11/2013,147.79
12/2013,145.77
01/2014,142.72
02/2014,143.53
03/2014,149.3
04/2014,147.69
05/2014,147.14
06/2014,140.88
07/2014,149.85
08/2014,148.27
09/2014,148.12
10/2014,149.70
11/2014,144.92
12/2014,145.48
01/2015,139.10
02/2015,136.81
03/2015,149.99
04/2015,142.67
05/2015,140.12
06/2015,139.1
07/2015,143.59
08/2015,141.13
09/2015,138.55
10/2015,140.46
11/2015,136.15
12/2015,136.40
01/2016,128.43
02/2016,130.90
03/2016,140.56
04/2016,136.6
05/2016,133.64
06/2016,135.35
07/2016,136.52
08/2016,137.97
09/2016,133.83
10/2016,132.61
11/2016,132.35
12/2016,133.37
01/2017,128.70
02/2017,129.85
03/2017,142.31
04/2017,133.82
05/2017,136.15
06/2017,135.12
07/2017,138.41
08/2017,140.10
09/2017,134.98
10/2017,136.2
11/2017,135.27
12/2017,136.5
01/2018,132.16
02/2018,129.90
03/2018,141.47
04/2018,138.80
05/2018,132.45
06/2018,137.41
07/2018,141.7
08/2018,143.10
09/2018,135.71
10/2018,139.64
11/2018,137.57
12/2018,136.47
01/2019,133.57
02/2019,133.8
03/2019,138.5
04/2019,138.14
05/2019,138.28
