Ano,Mes,IPCA15
2013,DEZ,0.75
2014,JAN,0.67
2014,FEV,0.7
2014,MAR,0.73
2014,ABR,0.78
2014,MAI,0.58
2014,JUN,0.47
2014,JUL,0.17
2014,AGO,0.14
2014,SET,0.39
2014,OUT,0.48
2014,NOV,0.38
2014,DEZ,0.79
2015,JAN,0.89
2015,FEV,1.33
2015,MAR,1.24
2015,ABR,1.07
2015,MAI,0.6
2015,JUN,0.99
2015,JUL,0.59
2015,AGO,0.43
2015,SET,0.39
2015,OUT,0.66
2015,NOV,0.85
2015,DEZ,1.18
2016,JAN,0.92
2016,FEV,1.42
2016,MAR,0.43
2016,ABR,0.51
2016,MAI,0.86
2016,JUN,0.4
2016,JUL,0.54
2016,AGO,0.45
2016,SET,0.23
2016,OUT,0.19
2016,NOV,0.26
2016,DEZ,0.19
2017,JAN,0.31
2017,FEV,0.54
2017,MAR,0.15
2017,ABR,0.21
2017,MAI,0.24
2017,JUN,0.16
2017,JUL,-0.18
2017,AGO,0.35
2017,SET,0.11
2017,OUT,0.34
2017,NOV,0.32
2017,DEZ,0.35
2018,JAN,0.39
2018,FEV,0.38
2018,MAR,0.1
2018,ABR,0.21
2018,MAI,0.14
2018,JUN,1.11
2018,JUL,0.64
2018,AGO,0.13
2018,SET,0.09
2018,OUT,0.58
2018,NOV,0.19
2018,DEZ,-0.16
2019,JAN,0.3
2019,FEV,0.34
2019,MAR,0.54
2019,ABR,0.72
2019,MAI,0.35
2019,JUN,0.06
