Date,Selic
2019-06-19,6.50
2019-05-08,6.50
2019-03-20,6.50
2019-02-06,6.50
2018-12-12,6.50
2018-10-31,6.50
2018-09-19,6.50
2018-08-01,6.50
2018-06-20,6.50
2018-05-16,6.50
2018-03-21,6.50
2018-02-07,6.75
2017-12-06,7.00
2017-10-25,7.50
2017-09-06,8.25
2017-07-26,9.25
2017-05-31,10.25
2017-04-12,11.25
2017-02-22,12.25
2017-01-11,13.00
2016-11-30,13.75
2016-10-19,14.00
2016-08-31,14.25
2016-07-20,14.25
2016-06-08,14.25
2016-04-27,14.25
2016-03-02,14.25
2016-01-20,14.25
2015-11-25,14.25
2015-10-21,14.25
2015-09-02,14.25
2015-07-29,14.25
2015-06-03,13.75
2015-04-29,13.25
2015-03-04,12.75
2015-01-21,12.25
2014-12-03,11.75
2014-10-29,11.25
2014-09-03,11.00
2014-07-16,11.00
2014-05-28,11.00
2014-04-02,11.00
2014-02-26,10.75
2014-01-15,10.50
2013-11-27,10.00
